application_number,funding_year,state,form_version,window_status,status,category,application_name,address1,city,zipcode,entity_number,fcc_number,applicant_type,enrollment,nslp_count,nslp_percent,locale,request_amount,congress_district
201003571,2020,OH,Original,In Window,Certified,Category1,Franklin Monroe Lsd,8639 Oaks Rd,Pitsburg,45358,129942,19782994,School District,621,105,17.00%,Rural,"$6,300.00",Congressional District 8
201004669,2020,OH,Original,In Window,Certified,Category1,Kettering City School District,3750 Far Hills Ave,Kettering,45429,129983,11922234,School District,7827,2779,36.00%,Urban,"$84,108.60",Congressional District 10
201004736,2020,OH,Original,In Window,Certified,Category1,Milton Union School District,7610 Milton Potsdam Road,West Milton,45383,129964,2993335,School District,1499,608,41.00%,Rural,"$21,084.00",Congressional District 8
201027393,2020,OH,Original,In Window,Certified,Category1,Portsmouth City School Dist,724 Findlay St,Portsmouth,45662,130046,12242293,School District,1865,1770,95.00%,Urban,"$15,681.60",Congressional District 2
201012239,2020,OH,Original,In Window,Certified,Category1,Little Miami Local Schools,7247 Zoar Rd,Maineville,45039,129856,12445458,School District,4462,780,17.00%,Urban,"$24,345.60",Congressional District 1
201012211,2020,OH,Original,In Window,Certified,Category1,Frontier Local School District,44870 State Route 7,New Matamoras,45767,130083,11929593,School District,615,255,41.00%,Rural,"$44,762.26",Congressional District 6
201001899,2020,OH,Original,In Window,Certified,Category1,Maumee City School District,716 Askin St,Maumee,43537,129283,14546931,School District,2152,661,31.00%,Urban,"$62,317.26",Congressional District 5
201004683,2020,OH,Original,In Window,Certified,Category1,Lima City School District,755 S. St Johns Ave,Lima,45804,130098,13032230,School District,3718,3718,100.00%,Urban,"$179,820.00",Congressional District 4
201004752,2020,OH,Original,In Window,Certified,Category1,Alexander Local School Dist,6091 Ayers Rd,Albany,45710,130069,4869970,School District,1555,575,37.00%,Rural,"$18,977.39",Congressional District 15
201011595,2020,OH,Original,In Window,Certified,Category1,Edgerton Local School District,111 E River St,Edgerton,43517,129271,2917805,School District,604,192,32.00%,Rural,"$15,962.33",Congressional District 5
201045505,2020,OH,Original,In Window,Certified,Category1,Mason City School District,211 N East St,Mason,45040,129816,11774460,School District,10381,908,9.00%,Urban,"$31,862.40",Congressional District 1
201026331,2020,OH,Original,In Window,Certified,Category1,Triway Local School District,3205 Shreve Rd,Wooster,44691,129696,13536545,School District,1543,520,34.00%,Rural,"$33,803.21",Congressional District 16
201004986,2020,OH,Original,In Window,Certified,Category1,Vanguard-Sentinel J V S D,1306 Cedar St,Fremont,43420,129234,12499992,School District,1071,354,33.00%,Rural,"$32,832.00",Congressional District 4
201001237,2020,OH,Original,In Window,Certified,Category1,Buckeye Local School District,3436 Edgewood Dr,Ashtabula,44004,129399,2920544,School District,1881,940,50.00%,Urban,"$53,851.20",Congressional District 14
201005068,2020,OH,Original,In Window,Certified,Category1,North College Hill School Dist,1731 Goodman Ave,Cincinnati,45239,129884,10353092,School District,1620,1218,75.00%,Urban,"$32,007.42",Congressional District 2
201005255,2020,OH,Original,In Window,Certified,Category1,Southern Local School District,10397 State Route 155e,Hemlock,43730,129337,12591962,School District,546,488,89.00%,Rural,"$26,913.60",Congressional District 15
201005102,2020,OH,Original,In Window,Certified,Category1,Van Buren Local School Dist,217 S Main St,Van Buren,45889,130166,2915270,School District,1063,135,13.00%,Rural,"$8,592.00",Congressional District 5
201045444,2020,OH,Original,In Window,Certified,Category1,St Clairsville  School District,108  Woodrow Ave,St Clairsville,43950,209155,2921013,School District,1638,424,26.00%,Urban,"$29,916.00",Congressional District 6
201027926,2020,OH,Original,In Window,Certified,Category1,Columbiana Exempted Village,720 New Waterford Rd,Columbiana,44408,129585,1203073,School District,1049,276,26.00%,Rural,"$18,435.46",Congressional District 6
201005615,2020,OH,Original,In Window,Certified,Category1,Leipsic Local School District,232 Oak St,Leipsic,45856,130135,13031984,School District,650,330,51.00%,Rural,"$13,756.80",Congressional District 5
201005313,2020,OH,Original,In Window,Certified,Category1,St Bernard-Elmwood Place S D,105 Washington Ave,Cincinnati,45217,129878,11696853,School District,913,719,79.00%,Urban,"$28,221.59",Congressional District 1
201045362,2020,OH,Original,In Window,Certified,Category1,Maysville Local School Dist,3715 Panther Drive,Zanesville,43701,129325,2994291,School District,2160,1492,69.00%,Urban,"$41,846.40",Congressional District 12
201005902,2020,OH,Original,In Window,Certified,Category1,Edon Northwest Local School District,802 West Indiana Street,Edon,43518,233610,14711444,School District,516,186,36.00%,Rural,"$16,084.49",Congressional District 5
201012174,2020,OH,Original,In Window,Certified,Category1,Antwerp Local School District,303 South Harrmann Road,Antwerp,45813,130106,10482628,School District,674,200,30.00%,Rural,"$10,440.00",Congressional District 5
201028085,2020,OH,Original,In Window,Certified,Category1,Coshocton County J V S D,23640 Airport Road,Coshocton,43812,129355,11964616,School District,261,130,50.00%,Rural,"$17,952.00",Congressional District 7
201028388,2020,OH,Original,In Window,Certified,Category1,Kent City School District,321 N Depeyster St,Kent,44240,129543,11885142,School District,3493,1261,36.00%,Urban,"$38,534.40",Congressional District 13
201008306,2020,OH,Original,In Window,Certified,Category1,Maysville Local School Dist,3715 Panther Drive,Zanesville,43701,129325,2994291,School District,2160,1492,69.00%,Urban,"$37,622.40",Congressional District 12
201005981,2020,OH,Original,In Window,Certified,Category1,Van Buren Local School Dist,217 S Main St,Van Buren,45889,130166,2915270,School District,1063,135,13.00%,Rural,"$11,261.94",Congressional District 5
201007437,2020,OH,Original,In Window,Certified,Category1,Midview Local School District,13050 Durkee Rd,Grafton,44044,129426,11917085,School District,2967,1031,35.00%,Urban,"$28,800.00",Congressional District 7
201006092,2020,OH,Original,In Window,Certified,Category1,Western Reserve Board Of Education,3765 Rt 20 E,Collins,44826,129781,2914224,School District,935,423,45.00%,Rural,"$23,184.00",Congressional District 4
201005861,2020,OH,Original,In Window,Certified,Category1,New Lebanon School District,320 S Fuls Rd,New Lebanon,45345,129935,2993442,School District,1174,609,52.00%,Rural,"$18,240.00",Congressional District 10
201045735,2020,OH,Original,In Window,Certified,Category1,East Muskingum School District,13505 John Glenn School Rd,New Concord,43762,129343,11752391,School District,2251,667,30.00%,Rural,"$46,512.00",Congressional District 6
201028462,2020,OH,Original,In Window,Certified,Category1,Adams County/Ohio Valley School District,141 Lloyd Rd,West Union,45693,130063,12617759,School District,3829,2106,55.00%,Rural,"$101,606.40",Congressional District 2
201022220,2020,OH,Original,In Window,Certified,Category1,Willard City School District,110 Myrtle Ave,Willard,44890,129782,2914893,School District,1411,925,66.00%,Rural,"$64,409.18",Congressional District 7
201022780,2020,OH,Original,In Window,Certified,Category1,Wayne County J V S D,518 W Prospect St,Smithville,44677,129690,6229629,School District,813,418,51.00%,Urban,"$8,592.29",Congressional District 16
201028517,2020,OH,Original,In Window,Certified,Category1,East Liverpool City Schools,810 West 8th Street,East Liverpool,43920,129370,12034260,School District,2051,1781,87.00%,Urban,"$71,773.78",Congressional District 6
201003861,2020,OH,Original,In Window,Certified,Category1,Highland Local School District,6506 State Route 229,Marengo,43334,129217,4855102,School District,1769,640,36.00%,Rural,"$9,590.28",Congressional District 12
201006139,2020,OH,Original,In Window,Certified,Category1,Twin Valley Community Local School District,100 Educational Drive,West Alexandria,45381,129962,4869962,School District,785,272,35.00%,Rural,"$14,809.20",Congressional District 8
201029020,2020,OH,Original,In Window,Certified,Category1,Noble Local School District,20977 Zep Road East,Sarahsville,43779,129350,5794185,School District,990,408,41.00%,Rural,"$24,628.80",Congressional District 6
201001512,2020,OH,Original,In Window,Certified,Category1,Ridgemont Local School Dist,560 W Taylor St,Mount Victory,43340,129213,12020632,School District,586,193,33.00%,Rural,"$18,309.60",Congressional District 5
201012180,2020,OH,Original,In Window,Certified,Category1,Bethel Local School District,7490 State Route 201,Tipp City,45371,129954,9436163,School District,1753,411,23.00%,Rural,"$14,724.00",Congressional District 8
201012106,2020,OH,Original,In Window,Certified,Category1,Vinton Co Local School Board,307 W. High Street,Mcarthur,45651,130031,7227960,School District,2083,1872,90.00%,Rural,"$35,229.60",Congressional District 15
201029387,2020,OH,Original,In Window,Certified,Category1,Solon City School District,33800 Inwood Road,Solon,44139,129510,9535659,School District,4619,476,10.00%,Urban,$431.95,Congressional District 14
201024473,2020,OH,Original,In Window,Certified,Category1,Solon City School District,33800 Inwood Road,Solon,44139,129510,9535659,School District,4619,476,10.00%,Urban,"$10,279.68",Congressional District 14
201014106,2020,OH,Original,In Window,Certified,Category1,Solon City School District,33800 Inwood Road,Solon,44139,129510,9535659,School District,4619,476,10.00%,Urban,"$6,153.60",Congressional District 14
201013793,2020,OH,Original,In Window,Certified,Category1,Solon City School District,33800 Inwood Road,Solon,44139,129510,9535659,School District,4619,476,10.00%,Urban,"$7,128.67",Congressional District 14
201027438,2020,OH,Original,In Window,Certified,Category1,Vinton Co Local School Board,307 W. High Street,Mcarthur,45651,130031,7227960,School District,2083,1872,90.00%,Rural,$647.89,Congressional District 15
201001684,2020,OH,Original,In Window,Certified,Category1,Brecksville-Broadview Hts Dist,6638 Mill Rd,Brecksville,44141,129513,6068175,School District,4267,437,10.00%,Urban,"$24,448.03",Congressional District 14
201001855,2020,OH,Original,In Window,Certified,Category1,New London Middle School District,2 Wildcat Drive,New London,44851,129756,12040689,School District,984,402,41.00%,Rural,"$27,888.00",Congressional District 7
201001253,2020,OH,Original,In Window,Certified,Category1,Beavercreek School District,3040 Kemp Road,Beavercreek,45431,129985,7458557,School District,7706,967,13.00%,Urban,"$15,897.60",Congressional District 10
201009513,2020,OH,Original,In Window,Certified,Category1,Kalida Local School District,301 N 3rd St,Kalida,45853,130134,12154514,School District,600,50,8.00%,Rural,"$1,260.00",Congressional District 5
201009464,2020,OH,Original,In Window,Certified,Category1,Kalida Local School District,301 N 3rd St,Kalida,45853,130134,12154514,School District,600,50,8.00%,Rural,"$8,700.00",Congressional District 5
201009311,2020,OH,Original,In Window,Certified,Category1,Clermont Co Ed Service Center,2400 Clermont Center Drive,Batavia,45103,129894,11573581,School District,62,45,73.00%,Urban,"$16,659.17",Congressional District 2
201009332,2020,OH,Original,In Window,Certified,Category1,Jackson City School District,450 Vaughn St,Jackson,45640,130028,11979101,School District,2474,1159,47.00%,Rural,"$15,649.20",Congressional District 6
201009341,2020,OH,Original,In Window,Certified,Category1,Franklin City School District,150 E 6th St,Franklin,45005,129796,2993533,School District,2850,1208,42.00%,Urban,"$63,079.20",Congressional District 1
201009276,2020,OH,Original,In Window,Certified,Category1,Southeastern Local  School District,2003 Lancaster Road,Chillicothe,45601,130053,14217129,School District,993,492,50.00%,Rural,"$18,021.70",Congressional District 15
201009048,2020,OH,Original,In Window,Certified,Category1,Lisbon Exempted Vlg Sch Dist,317 N Market St,Lisbon,44432,129602,11882487,School District,926,502,54.00%,Rural,"$37,344.00",Congressional District 6
201009136,2020,OH,Original,In Window,Certified,Category1,Minster Local School District,50 E 7th Street,Minster,45865,130141,2916633,School District,863,96,11.00%,Rural,"$10,758.00",Congressional District 4
201009805,2020,OH,Original,In Window,Certified,Category1,New Miami Local School Dist,600 Seven Mile Ave,Hamilton,45011,129802,14129159,School District,712,615,86.00%,Urban,"$18,511.20",Congressional District 8
201009662,2020,OH,Original,In Window,Certified,Category1,Tri-Village Local Sch District,315 S Main St,New Madison,45346,129936,11887932,School District,765,272,36.00%,Rural,"$10,440.02",Congressional District 8
201010261,2020,OH,Original,In Window,Certified,Category1,Minford Local School District,"P. O. Box 204, 491 Bond Road",Minford,45653,130036,12289138,School District,1366,630,46.00%,Rural,"$16,590.00",Congressional District 6
201010492,2020,OH,Original,In Window,Certified,Category1,Alexander Local School Dist,6091 Ayers Rd,Albany,45710,130069,4869970,School District,1555,575,37.00%,Rural,"$2,310.00",Congressional District 15
201014041,2020,OH,Original,In Window,Certified,Category1,Euclid City School District,651 E 222nd St,Euclid,44123,129493,12663274,School District,4756,3829,81.00%,Urban,"$67,619.23",Congressional District 11
201007712,2020,OH,Original,In Window,Certified,Category1,Elida Local School District,4380 Sunnydale,Elida,45807,130102,13638614,School District,2433,1113,46.00%,Urban,"$29,520.00",Congressional District 4
201044262,2020,OH,Original,In Window,Certified,Category1,Elida Local School District,4380 Sunnydale,Elida,45807,130102,13638614,School District,2433,1113,46.00%,Urban,"$74,314.80",Congressional District 4
201009489,2020,OH,Original,In Window,Certified,Category1,Triad Local School District,7920 Brush Lake Rd,N Lewisburg,43060,129101,6372957,School District,926,351,38.00%,Rural,"$17,941.64",Congressional District 4
201006625,2020,OH,Original,In Window,Certified,Category1,Chesapeake Union Exemp Vlg Sch,10183 County Road 1,Chesapeake,45619,130010,14210785,School District,1414,820,58.00%,Urban,"$23,760.00",Congressional District 6
201001846,2020,OH,Original,In Window,Certified,Category1,Norwayne Local School District,350 S Main St,Creston,44217,129527,2921344,School District,1470,313,21.00%,Rural,"$27,405.36",Congressional District 16
201045823,2020,OH,Original,In Window,Certified,Category1,Huron City School District,712 Cleveland Rd E,Huron,44839,129745,11874955,School District,1273,353,28.00%,Urban,$258.00,Congressional District 9
201007235,2020,OH,Original,In Window,Certified,Category1,Gorham Fayette Local Schools,400 E. Gamble Rd,Fayette,43521,129274,2917433,School District,410,164,40.00%,Rural,"$21,525.00",Congressional District 5
201001518,2020,OH,Original,In Window,Certified,Category1,Anthony Wayne Local Sch Dist,9565 Bucher Road,Whitehouse,43571,129309,4164547,School District,4753,580,12.00%,Rural,"$23,489.82",Congressional District 5
201007362,2020,OH,Original,In Window,Certified,Category1,Wickliffe City School District,2221 Rockefeller Rd,Wickliffe,44092,129469,8210742,School District,1310,407,31.00%,Urban,"$17,575.08",Congressional District 14
201007275,2020,OH,Original,In Window,Certified,Category1,Keystone Local School District,531 Opportunity Way,Lagrange,44050,129432,7661242,School District,1631,411,25.00%,Rural,"$15,000.05",Congressional District 7
201003912,2020,OH,Original,In Window,Certified,Category1,Pickerington School District,90 East St,Pickerington,43147,129150,10987857,School District,11105,2840,26.00%,Urban,"$162,478.56",Congressional District 15
201007628,2020,OH,Original,In Window,Certified,Category1,Campbell Local Schools,280 6th St,Campbell,44405,129582,12192290,School District,1063,1063,100.00%,Urban,"$28,237.25",Congressional District 13
201007507,2020,OH,Original,In Window,Certified,Category1,Shawnee School District,3255 Zurmehly Rd,Lima,45806,130099,11925195,School District,2454,664,27.00%,Urban,"$11,400.00",Congressional District 4
201007561,2020,OH,Original,In Window,Certified,Category1,Mississinawa Valley School,10480 Staudt Rd,Union City,45390,50299,11857083,School District,690,352,51.00%,Rural,"$12,864.00",Congressional District 8
201006143,2020,OH,Original,In Window,Certified,Category1,Clyde-Green Spgs Vlg Sch Dist,106 S Main St,Clyde,43410,129230,2918068,School District,2091,961,46.00%,Rural,"$26,040.00",Congressional District 4
201007867,2020,OH,Original,In Window,Certified,Category1,Manchester Local School District,130 Wayne Frye Drive,Manchester,45144,16026504,13034913,School District,793,528,67.00%,Rural,"$17,836.22",Congressional District 2
201007882,2020,OH,Original,In Window,Certified,Category1,Miami East Local School Dist,3825 N State Route 589,Casstown,45312,129909,2991669,School District,1304,200,15.00%,Rural,"$11,400.00",Congressional District 8
201007575,2020,OH,Original,In Window,Certified,Category1,Reynoldsburg City School Dist,7244 E. Main Street,Reynoldsburg,43068,129106,9463969,School District,7095,4012,57.00%,Urban,"$120,720.00",Congressional District 3
201005246,2020,OH,Original,In Window,Certified,Category1,Lockland City School District,210 N Cooper Ave,Cincinnati,45215,129876,11574597,School District,549,461,84.00%,Urban,"$14,814.04",Congressional District 2
201007248,2020,OH,Original,In Window,Certified,Category1,River Valley School District,197 Brocklesby Road,Caledonia,43314,129186,2994002,School District,1870,742,40.00%,Rural,"$23,870.00",Congressional District 12
201007998,2020,OH,Original,In Window,Certified,Category1,Lake Local School District,28090 Lemoyne St,Millbury,43447,129243,11583366,School District,1580,542,34.00%,Rural,"$21,102.12",Congressional District 5
201007254,2020,OH,Original,In Window,Certified,Category1,Hicksville School District,958 E High St,Hicksville,43526,129276,13593058,School District,1001,337,34.00%,Rural,"$14,004.58",Congressional District 5
201026641,2020,OH,Original,In Window,Certified,Category1,Firelands Local School Dist,112 N Lake Street,South Amherst,44001,129448,11897303,School District,1774,520,29.00%,Rural,"$4,739.31",Congressional District 4
201019729,2020,OH,Original,In Window,Certified,Category1,New Albany-Plain Local School District,55 North High Street,New Albany,43054,129092,17638305,School District,5084,317,6.00%,Urban,"$12,820.75",Congressional District 12
201006839,2020,OH,Original,In Window,Certified,Category1,Genoa Area Local School Dist,2810 North Genoa Clay Center Road,Genoa,43430,129229,11914173,School District,1510,347,23.00%,Rural,"$18,792.00",Congressional District 5
201008740,2020,OH,Original,In Window,Certified,Category1,Wayne Local School District,659 Dayton Rd,Waynesville,45068,129824,2993004,School District,1230,190,15.00%,Urban,"$11,251.20",Congressional District 1
201007589,2020,OH,Original,In Window,Certified,Category1,Pickaway-Ross County J V S D,895 Crouse Chapel Rd,Chillicothe,45601,130003,12261301,School District,704,358,51.00%,Rural,"$30,182.88",Congressional District 15
201008501,2020,OH,Original,In Window,Certified,Category1,Claymont City School District,201 N. 3rd. Street,Dennison,44621,129654,11951852,School District,1711,1227,72.00%,Urban,"$44,877.31",Congressional District 6
201008520,2020,OH,Original,In Window,Certified,Category1,Cory-Rawson School District,3930 County Road 26,Rawson,45881,130159,11928959,School District,541,209,39.00%,Rural,"$12,180.00",Congressional District 5
201008635,2020,OH,Original,In Window,Certified,Category1,Maplewood Area J V S D,7075 State Route 88,Ravenna,44266,129562,14342604,School District,603,257,43.00%,Rural,"$27,888.00",Congressional District 13
201008492,2020,OH,Original,In Window,Certified,Category1,Loudonville-Perrysvle Sch Dist,210 E Main St,Loudonville,44842,129748,12749248,School District,936,323,35.00%,Rural,"$30,695.28",Congressional District 7
201008711,2020,OH,Original,In Window,Certified,Category1,Warren County Esc,1879 Deerfield Road,Lebanon,45036,129814,14370423,School District,301,140,47.00%,Urban,"$42,775.20",Congressional District 1
201008881,2020,OH,Original,In Window,Certified,Category1,Mohawk Local Schools,295 State Highway 231,Sycamore,44882,129776,11727278,School District,922,213,23.00%,Rural,"$7,380.00",Congressional District 5
201008901,2020,OH,Original,In Window,Certified,Category1,Columbia Local School District,25796 Royalton Rd,Columbia Sta,44028,129415,12940276,School District,903,227,25.00%,Rural,"$13,080.10",Congressional District 7
201008935,2020,OH,Original,In Window,Certified,Category1,Claymont City School District,201 N. 3rd. Street,Dennison,44621,129654,11951852,School District,1711,1227,72.00%,Urban,"$44,895.94",Congressional District 6
201003847,2020,OH,Original,In Window,Certified,Category1,Fredericktown Local Sch Dist,117 Columbus Road,Fredericktown,43019,129069,12157947,School District,1157,356,31.00%,Rural,"$8,863.13",Congressional District 7
201045776,2020,OH,Original,In Window,Certified,Category1,Maplewood Local School Dist,2414 Greenville Rd,Cortland,44410,129589,7941099,School District,706,262,37.00%,Rural,"$17,847.90",Congressional District 14
201008887,2020,OH,Original,In Window,Certified,Category1,Kelleys Island Local Sch Dist,528 Division Street,Kelleys Island,43438,129241,20259032,School District,5,1,20.00%,Rural,"$10,886.40",Congressional District 9
201045872,2020,OH,Original,In Window,Certified,Category1,North Fork Local School District,312 Maple Ave,Utica,43080,129116,11928462,School District,1771,500,28.00%,Rural,"$44,150.40",Congressional District 12
201045541,2020,OH,Original,In Window,Certified,Category1,Lakota Local School District,5200 County Road 13,Kansas,44841,129252,2917201,School District,1097,416,38.00%,Rural,"$16,443.00",Congressional District 4
201045912,2020,OH,Original,In Window,Certified,Category1,Shadyside Local School Dist,3890 Lincoln Ave,Shadyside,43947,129377,4844361,School District,805,212,26.00%,Urban,"$21,660.00",Congressional District 6
201045627,2020,OH,Original,In Window,Certified,Category1,Tri-Valley Local School Dist,36 E Muskingum Ave,Dresden,43821,129359,3020468,School District,3278,1175,36.00%,Rural,"$83,949.60",Congressional District 6
201045773,2020,OH,Original,In Window,Certified,Category1,Granville School District,130 N. Granger St.  P. O. Box 417,Granville,43023,129071,11655735,School District,2663,102,4.00%,Urban,"$23,899.20",Congressional District 12
201045291,2020,OH,Original,In Window,Certified,Category1,Gahanna-Jefferson Cty Sch Dist,160 S Hamilton Rd,Gahanna,43230,129170,2995892,School District,7849,1816,23.00%,Urban,"$43,325.00",Congressional District 3
201045758,2020,OH,Original,In Window,Certified,Category1,Antwerp Local School District,303 South Harrmann Road,Antwerp,45813,130106,10482628,School District,674,200,30.00%,Rural,"$13,680.00",Congressional District 5
201004890,2020,OH,Original,In Window,Certified,Category1,Port Clinton City School Dist,811 S Jefferson St,Port Clinton,43452,129249,13356225,School District,1593,774,49.00%,Rural,"$26,040.00",Congressional District 4
201009132,2020,OH,Original,In Window,Certified,Category1,Walnut Twp Local School Dist,11850 Lancaster Street,Millersport,43046,129086,11925427,School District,524,250,48.00%,Urban,"$10,821.60",Congressional District 15
201012232,2020,OH,Original,In Window,Certified,Category1,Geneva Area City Sch District,135 S Eagle St,Geneva,44041,129424,12083689,School District,2654,1439,54.00%,Rural,"$86,625.60",Congressional District 14
201012346,2020,OH,Original,In Window,Certified,Category1,Delphos City School District,234 N Jefferson St,Delphos,45833,130119,11866589,School District,1054,424,40.00%,Rural,"$20,034.00",Congressional District 5
201044276,2020,OH,Original,In Window,Certified,Category1,Solon City School District,33800 Inwood Road,Solon,44139,129510,9535659,School District,4619,476,10.00%,Urban,"$7,704.00",Congressional District 14
