Code,StationName,Staffed,StationType,City,State,Zip,Country,Division,PublicPhone,TicketOffice,QuikTrak,MetrolinkTVM,CheckedBaggage,AmtrakExpress,HandleUSMail,Lounge,UnaccompaniedChildren,AdvPayPPO,AmtrakTrains,Non-AmtrakTrains,DedicatedThruway,CoordinatedThruway,OtherTransportation,GroupCity,IATACode,IATAName,NonAmtrakTicketSale,TimeZone,ObserveDayLightSaving,CheckInWService,CheckInWOService,Elevation,Population
AKY,"Ashland, Kentucky",N,Station Building (with waiting room),Ashland,KY,41101,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,546,21570
ALB,"Albany-Rensselaer, New York",Y,Station Building (with waiting room),Rensselaer,NY,12144-2310,United States,Northeast,518-462-5710,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,E,Y,60,30,30,110000
ALC,"Alliance, Ohio",N,Platform only (no shelter),Alliance,OH,44601,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,1078,23376
ALD,"Alderson, West Virginia",N,Platform with Shelter,Alderson,WV,24910,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,1550,1086
ALI,"Albion, Michigan",N,Station Building (with waiting room),Albion,MI,49224,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,No,E,Y,30,30,948,12115
ALM,"Alpena, Michigan",N,Curbside Bus Stop only (no shelter),Alpena,MI,49707,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,N,30,30,627,
ALN,"Alton, Illinois",Y,Station Building (with waiting room),Alton,IL,62002-5000,United States,Central,618-462-1879,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,C,Y,60,30,491,29269
ALP,"Alpine, Texas",N,Station Building (with waiting room),Alpine,TX,79830,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,4483,6035
ALT,"Altoona, Pennsylvania",Y,Station Building (with waiting room),Altoona,PA,16601,United States,Mid-Atlantic,814-946-1100,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,E,Y,30,30,1180,56500
ALX,"Alexandria, Virginia",Y,Station Building (with waiting room),Alexandria,VA,22301-2752,United States,Mid-Atlantic,703-836-4339,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,,,,Via Rail Canada,E,Y,60,30,30,136974
ALY,"Albany, Oregon",Y,Station Building (with waiting room),Albany,OR,97321-2457,United States,Pacific Northwest,541-928-0885,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,,,,Via Rail Canada,P,Y,45,30,223,40852
AMM,"Amherst, Massachusetts",N,Platform with Shelter,Amherst,MA,01002-2318,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,258,34049
AMS,"Amsterdam, New York",N,Platform only (no shelter),Amsterdam,NY,12010-1053,United States,Northeast,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,270,22000
ANA,"Anaheim, California",Y,Station Building (with waiting room),Anaheim,CA,92806,United States,Southwest,714-385-1448,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,,,,Via Rail Canada,P,Y,45,30,157,200100
APP,"Appleton, Wisconsin",N,Curbside Bus Stop only (no shelter),Appleton,WI,54911-5448,United States,Central,414-733-2318,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,C,Y,30,30,791,70191
ARB,"Ann Arbor, Michigan",Y,Station Building (with waiting room),Ann Arbor,MI,48104,United States,Central,734-994-4906,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,,,,VIA Rail Canada,E,Y,30,30,780,99797
ARC,"Arcata, California",N,Curbside Bus Stop only (no shelter),Arcata,CA,95521-6239,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,P,Y,30,30,33,14140
ARD,"Ardmore, Pennsylvania",N,Station Building (with waiting room),Ardmore,PA,19003,United States,Mid-Atlantic,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,Septa,E,Y,30,30,358,12616
ARI,"Astoria (Shell Station Mini Mart), Oregon",N,Curbside Bus Stop only (no shelter),Astoria,OR,97103,United States,Pacific,503-325-4162,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,ARX,,,For Bus to PDX,P,Y,30,30,21,9813
ARK,"Arkadelphia, Arkansas",N,Platform with Shelter,Arkadelphia,AR,71923-6237,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,192,10475
ARN,"Auburn, California",N,Platform with Shelter,Auburn,CA,95603,United States,Pacific,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,,,,,P,Y,30,30,1271,13000
ART,"Astoria (Transit Center), Oregon",N,Curbside Bus Stop only (no shelter),Astoria,OR,97103,United States,Pacific Northwest,503-861-7433,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,,,,Bus to Portland,P,Y,30,30,10,
ASD,"Ashland, Virginia",N,Platform with Shelter,Ashland,VA,23005,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,212,5800
AST,"Aldershot, Ontario",Y,Station Building (with waiting room),Aldershot,ON,L7T 4A8,Canada,VIA Rail Canada Inc.,888-842-7245,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,XLY,VIAnet:  ALDR,VIA Rail Canada,E,Y,30,30,351,3868
ATA,"Atascadero, California",N,Curbside Bus Stop only (no shelter),Atascadero,CA,93422,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,P,Y,30,30,855,20000
ATI,"Athol, Idaho",N,Curbside Bus Stop only (no shelter),Athol,ID,83801,United States,Pacific Northwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,P,Y,15,15,2405,
ATL,"Atlanta, Georgia",Y,Station Building (with waiting room),Atlanta,GA,30309,United States,Southern,404-881-3060,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,E,Y,90,90,889,4000000
ATN,"Anniston, Alabama",N,Station Building (with waiting room),Anniston,AL,36201,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,677,24052
ATO,"Atco, New Jersey",N,Platform with Shelter,Atco,NJ,08004,United States,Northeast,973-275-5555,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,,,,,E,Y,30,30,159,14300
AUS,"Austin, Texas",Y,Station Building (with waiting room),Austin,TX,78703,United States,Southwest,512-476-5684,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,,,,VIA Rail Canada,C,Y,60,30,463,644000
BAG,Baggage,,Pseudo Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAK,"Baker City, Oregon",N,Station Building (with waiting room),Baker City,OR,97814,United States,Pacific Northwest,541-523-5011,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,Greyhound only,P,Y,30,30,3432,9000
BAL,"Baltimore (Penn Station), Maryland",Y,Station Building (with waiting room),Baltimore,MD,21201-5815,United States,Mid-Atlantic,410-291-4262,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,,,,MARC/Via Rail Canada,E,Y,60,30,70,651000
BAM,"Bangor, Michigan",N,Station Building (with waiting room),Bangor,MI,49013-1464,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,655,1889
BAN,"Bangor, Maine",N,Station Building (with waiting room),Bangor,ME,04401-3011,United States,Northeast,207-945-4000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,Concord Trailways,E,Y,30,30,151,31008
BAR,"Barstow (Amtrak), California",N,Platform with Shelter,Barstow,CA,92311,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,BAX,,,,P,Y,30,30,2105,23628
BAT,"Bath, Maine",N,Curbside Bus Stop only (no shelter),Bath,ME,04530-6018,United States,Northeast,207-443-1457,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,Concord Trailways,E,Y,30,30,32,9184
BAV,"Barnesville, Maryland",,Pseudo Station,Barnesville,MD,20841,United States,MARC,800-325-RAIL,,N,,,,,,,,,,,,,,,,,E,Y,,,,
BBS,"Barstow (Bus), California",N,Curbside Bus Stop only (no shelter),Barstow,CA,92311-3239,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,BAX,,,,P,Y,30,30,2106,23628
BBY,"Boston (Back Bay), Massachusetts",Y,Station Building (with waiting room),Boston,MA,02116-5162,United States,Northeast,617-345-7998,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,,,,,E,Y,30,30,20,641000
BCA,"Baltimore (Camden Station), Maryland",,Pseudo Station,Baltimore,MD,21230,United States,MARC,800-325-RAIL,,Y,,,,,,,,,,,,,,,,,E,Y,,,,
BCV,"Burke Centre, Virginia",N,Platform with Shelter,Burke,VA,22015,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,,,,E,Y,30,30,297,
BCY,"Bay City, Michigan",N,Station Building (with waiting room),Bay City,MI,48708,United States,Central,989-893-6589,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,Indian Trails,E,Y,30,30,591,
BDR,"Bend (Riverhouse), Oregon",N,Platform with Shelter,Bend,OR,97701,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,BDX,,,,P,Y,30,30,3534,71892
BDT,"Bradenton, Florida",N,Curbside Bus Stop only (no shelter),Bradenton,FL,34205-7803,United States,Southern,000-000-0000,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,,,,,E,Y,30,30,14,53662
BED,"Bend (Bus Station), Oregon",N,Station Building (with waiting room),Bend,OR,97701,United States,Pacific Northwest,541-382-2151,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,BDX,,,For bus companies,P,Y,30,30,3664,71892
BEL,"Bellingham, Washington",Y,Station Building (with waiting room),Bellingham,WA,98225,United States,Pacific Northwest,360-734-8851,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,,,,Via Rail Canada,P,Y,45,30,13,80000
BEN,"Benson, Arizona",N,Platform with Shelter,Benson,AZ,85602-6611,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,M,N,30,30,3589,4890
BER,"Berlin, Connecticut",Y,Station Building (with waiting room),Kensington,CT,06037,United States,Northeast,860-828-9718,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,E,Y,45,30,62,15121
BET,"South Beloit, Illinois",N,Curbside Bus Stop only (no shelter),South Beloit,IL,61080-9723,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,C,Y,30,30,798,5507
BFD,"Bakersfield, California",Y,Station Building (with waiting room),Bakersfield,CA,93301-5319,United States,Pacific,661-395-3175,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,,,,Via Rail Canada,P,Y,60,30,406,240000
BFT,"Belfast, Maine",N,Curbside Bus Stop only (no shelter),Belfast,ME,04915,United States,Northeast,207-338-3239,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,E,Y,30,30,199,6803
BFX,"Buffalo (Exchange St), New York",Y,Station Building (with waiting room),Buffalo,NY,14203,United States,Northeast,716-856-2075,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,BUX,,,Via Rail Canada,E,Y,15,15,587,315000
BGP,"Big Rapids, Michigan",N,Curbside Bus Stop only (no shelter),Big Rapids,MI,49307-2373,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,E,Y,30,30,1004,12603
BHM,"Birmingham, Alabama",Y,Station Building (with waiting room),Birmingham,AL,35203-3109,United States,Southern,205-324-3033,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,,,,Via Rail Canada,C,Y,60,60,644,1212848
BIN,"Berlin, New Hampshire",N,Curbside Bus Stop only (no shelter),Berlin,NH,03570-1900,United States,Northeast,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,E,Y,30,30,941,9954
BKO,"Brookings, Oregon",N,Station Building (with waiting room),Brookings,OR,97415,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,,,,Bus company,P,Y,15,15,130,
BKY,"Berkeley, California",N,Platform only (no shelter),Berkeley,CA,94710-1924,United States,Pacific,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,Y,,,,,P,Y,15,15,16,101555
BLF,"Bellows Falls, Vermont",N,Station Building (with waiting room),Bellows Falls,VT,05101-1356,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,305,3025
BMM,"Birmingham, Michigan",N,Platform with Shelter,Birmingham,MI,48009,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,E,Y,30,30,750,19185
BMT,"Beaumont, Texas",N,Platform only (no shelter),Beaumont,TX,77704,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,15,109856
BNC,"Burlington, North Carolina",N,Station Building (with waiting room),Burlington,NC,27217,United States,Southern,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,662,48400
BND,"Bend (Hawthorne Intermodal Center), Oregon",N,Curbside Bus Stop only (no shelter),Bend,OR,97701,United States,Pacific Northwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,BDX,,,,P,Y,15,15,3646,71892
BNF,"Branford, Connecticut",,Pseudo Station,Branford,CT,06405,United States,Shore Line East,203-777-7433,,N,,,,,,,,,,,,,,,,,E,Y,,,,
BNG,"Bingen-White Salmon, Washington",N,Platform with Shelter,Bingen,WA,98605,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,P,Y,30,30,115,500
BNL,"Bloomington-Normal, Illinois",Y,Station Building (with waiting room),Normal,IL,61761-3015,United States,Central,309-862-2000,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,,,,,Via Rail Canada,C,Y,60,30,788,100000
BNS,"Burns, Oregon",N,Curbside Bus Stop only (no shelter),Burns,OR,97720,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,P,Y,30,30,4154,2745
BOI,"Boise, Idaho",N,Station Building (with waiting room),Boise,ID,83702-5619,United States,Pacific Northwest,208-343-3861,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,Bus tickets only.,P,Y,30,30,2696,163000
BON,"Boston (North Station), Massachusetts",Y,Station Building (with waiting room),Boston,MA,02114,United States,Northeast,800-USA-RAIL,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,BOX,,,MBTA,E,Y,30,30,10,641071
BOS,"Boston (South Station), Massachusetts",Y,Station Building (with waiting room),Boston,MA,02110,United States,Northeast,617-345-7551,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,BOX,,,,E,Y,60,30,14,641071
BRA,"Brattleboro, Vermont",N,Station Building (with waiting room),Brattleboro,VT,05301-3389,United States,Northeast,802-254-2301,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,235,8289
BRH,"Brookhaven, Mississippi",N,Station Building (with waiting room),Brookhaven,MS,39601-3839,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,484,9983
BRK,"Brunswick, Maine",N,Curbside Bus Stop only (no shelter),Brunswick,ME,04011,United States,Northeast,207-729-9869,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,,,,Concord Trailways,E,Y,30,30,131,14816
BRL,"Burlington, Iowa",N,Station Building (with waiting room),Burlington,IA,52601,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,538,27208
BRO,"Browning, Montana",N,Station Building (with waiting room),Browning,MT,59417,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,GPX,,,,M,Y,30,30,4484,1065
BRP,"Bridgeport, Connecticut",N,Station Building (with waiting room),Bridgeport,CT,06604-4315,United States,Northeast,203-336-2891,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,Metro North Railroad,E,Y,30,30,37,142546
BTL,"Battle Creek, Michigan",Y,Station Building (with waiting room),Battle Creek,MI,49017-3521,United States,Central,269-963-3351,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,,,,,Via Rail Canada,E,Y,30,30,822,92144
BTR,"Baton Rouge, Louisiana",N,Curbside Bus Stop only (no shelter),Baton Rouge,LA,70802,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,,,,,C,Y,30,30,53,229553
BUF,"Buffalo-Depew, New York",Y,Station Building (with waiting room),Depew,NY,14043,United States,Northeast,716-683-8440,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,BUX,,,Via Rail Canada,E,Y,60,30,674,313000
BUL,"Buellton, California",N,Curbside Bus Stop only (no shelter),Buellton,CA,93427,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,P,Y,30,30,358,4278
BUR,"Burbank (Airport), California",N,Platform with Shelter,Burbank,CA,91505,United States,Southwest,000-000-0000,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,,,,,P,Y,30,30,689,95000
BVD,"Beaver Dam, Wisconsin",N,Curbside Bus Stop only (no shelter),Beaver Dam,WI,53916,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,C,Y,15,15,891,
BWC,"Brunswick (Bowdoin College), Maine",N,Curbside Bus Stop only (no shelter),Brunswick,ME,04011,United States,Northeast,800-639-3317,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,,,,,E,Y,30,30,72,14816
BWE,"Bowie State, Maryland",,Pseudo Station,Bowie,MD,20715,,MARC,800-325-RAIL,,N,,,,,,,,,,,,,,,,,E,Y,,,,
BWI,"BWI Thurgood Marshall Airport Station, Maryland",Y,Station Building (with waiting room),BWI Airport,MD,21240-0642,United States,Mid-Atlantic,410-672-6169,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,,,,MARC/Via Rail Canada,E,Y,30,30,63,50000
BWK,"Brunswick, Maryland",,Pseudo Station,Brunswick,MD,21716-1147,United States,MARC,800-325-RAIL,,Y,,,,,,,,,,,,,,,,,E,Y,,,,
BWW,"Brewster, Washington",N,Curbside Bus Stop only (no shelter),Brewster,WA,98812,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,P,Y,30,30,815,2600
BYD,"Boyds, Maryland",,Pseudo Station,Boyds,MD,20841,United States,MARC,800-325-RAIL,,N,,,,,,,,,,,,,,,,,E,Y,,,,
BYF,"Boyne Falls, Michigan",N,Curbside Bus Stop only (no shelter),Boyne Falls,MI,49713,United States,Central,800-292-3831,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,E,Y,30,30,710,340
BYN,"Bryan, Ohio",N,Station Building (with waiting room),Bryan,OH,43506,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,769,8348
CAL,California Rail Pass,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
CAM,"Camden, South Carolina",N,Station Building (with waiting room),Camden,SC,29020,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,174,6700
CAY,"Conway, New Hampshire",N,Curbside Bus Stop only (no shelter),Conway,NH,03818,United States,Northeast,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,E,Y,30,30,460,1692
CBN,Canadian Border New York,,Pseudo Station,,,,,,,,,,,,,,,N,,,,,,,,,,E,Y,,,299,
CBO,"Cannon Beach, Oregon",N,Curbside Bus Stop only (no shelter),Cannon Beach,OR,97110,United States,Pacific Northwest,503-436-0515,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,At Family Market,P,Y,30,30,30,1500
CBR,"Cleburne, Texas",N,Station Building (with waiting room),Cleburne,TX,76031-4236,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,764,29689
CBS,"Columbus, Wisconsin",Y,Station Building (with waiting room),Columbus,WI,53925,United States,Central,920-623-3831,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,C,Y,60,30,845,5093
CBY,"Coos Bay, Oregon",N,Curbside Bus Stop only (no shelter),Coos Bay,OR,97420-2335,United States,Pacific Northwest,541-269-7183,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,buses only,P,Y,30,30,23,16000
CBZ,"Cabazon, California",N,Curbside Bus Stop only (no shelter),Cabazon,CA,92230,United States,Southwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,Y,,,,,,,P,Y,15,15,1953,
CDE,"Cambridge, Maryland",N,Curbside Bus Stop only (no shelter),Cambridge,MD,21613,United States,Mid-Atlantic,410-912-6000,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,Y,15,15,28,
CDL,"Carbondale, Illinois",Y,Station Building (with waiting room),Carbondale,IL,62901,United States,Central,618-457-3388,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,N,,,,Via Rail Canada,C,Y,60,30,416,20681
CDN,"Camden/Rockport, Maine",N,Curbside Bus Stop only (no shelter),Rockport,ME,04856,United States,Northeast,207-236-4597,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,E,Y,30,30,123,3934
CEN,"Centralia, Illinois",N,Station Building (with waiting room),Centralia,IL,62801-3526,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,490,15000
CER,"Coeur d'Alene, Idaho",N,Curbside Bus Stop only (no shelter),Coeur d'Alene,ID,83814,United States,Pacific Northwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,P,Y,15,15,2208,
CFX,"Colfax, Washington",N,Curbside Bus Stop only (no shelter),Colfax,WA,99111,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,Bus tickets only.,P,Y,30,30,1989,
CHG,Charge,,Pseudo Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,"Chicago (Union Station), Illinois",Y,Station Building (with waiting room),Chicago,IL,60606-5702,United States,Central,312-655-2101,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,Metra/Via Rail Canad,C,Y,90,30,587,2833321
CHM,"Champaign-Urbana, Illinois",Y,Station Building (with waiting room),Champaign,IL,61820-4046,United States,Central,217-352-5905,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,N,,,,Via Rail Canada,C,Y,60,30,737,73685
CHP,"Chippewa Falls, Wisconsin",N,Curbside Bus Stop only (no shelter),Chippewa Falls,WI,54729,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,C,Y,15,15,903,
CHS,"Charleston, South Carolina",Y,Station Building (with waiting room),North Charleston,SC,29405,United States,Southern,843-744-8264,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,E,Y,60,30,20,549000
CHW,"Charleston, West Virginia",Y,Station Building (with waiting room),Charleston,WV,25314,United States,Mid-Atlantic,304-342-6766,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,E,Y,45,30,606,51846
CIC,"Chico, California",N,Platform only (no shelter),Chico,CA,95928-4602,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,,,,,P,Y,30,30,188,35000
CIN,"Cincinnati, Ohio",Y,Station Building (with waiting room),Cincinnati,OH,45203-1130,United States,Central,513-651-3337,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,CIX,,,Via Rail Canada,E,Y,60,30,503,551891
CLA,"Claremont, New Hampshire",N,Platform only (no shelter),Claremont,NH,03743,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,466,13264
